match_id,match_date,tournament,stage,is_knockout,team_a,team_b,team_a_squad_value,team_b_squad_value,squad_value_diff,target_result_90m,team_a_elo,team_b_elo,elo_diff,team_a_fifa_rank,team_b_fifa_rank,fifa_rank_diff,team_a_last5_points,team_b_last5_points,last5_points_diff,team_a_last5_goals_for,team_b_last5_goals_for,goals_for_diff,team_a_last5_goals_against,team_b_last5_goals_against,goals_against_diff,team_a_last5_goal_diff,team_b_last5_goal_diff,last5_goal_diff_gap,team_a_rest_days,team_b_rest_days,rest_days_diff,confederation_a,confederation_b,confederation_pair,same_confederation_flag,team_a_top11_avg_rating_last5,team_b_top11_avg_rating_last5,top11_rating_diff,team_a_top11_avg_minutes_last5,team_b_top11_avg_minutes_last5,top11_minutes_diff,team_a_attack_core_form_score,team_b_attack_core_form_score,attack_core_form_diff,team_a_gk_form_score,team_b_gk_form_score,gk_form_diff,team_a_recent_starts_stability,team_b_recent_starts_stability,starts_stability_diff,team_a_key_absence_score,team_b_key_absence_score,key_absence_diff,team_a_avg_xg_last5,team_b_avg_xg_last5,xg_diff,team_a_avg_xga_last5,team_b_avg_xga_last5,xga_diff
7541,2018-06-19,FIFA World Cup,group,0,Colombia,Japan,221500000.0,73150000.0,148350000.0,2,1970.51,1784.49,186.02,16,61,-45,8,4,4,8.0,6.0,2.0,4.0,9.0,-5.0,4.0,-3.0,7.0,18.0,7.0,11.0,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,
7539,2018-06-19,FIFA World Cup,group,0,Poland,Senegal,268250000.0,267250000.0,1000000.0,2,1863.82,1835.11,28.71,8,27,-19,7,6,1,9.0,4.0,5.0,6.0,3.0,3.0,3.0,1.0,2.0,7.0,8.0,-1.0,UEFA,CAF,UEFA_vs_CAF,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7540,2018-06-19,FIFA World Cup,group,0,Russia,Egypt,91100000.0,171150000.0,-80050000.0,0,1770.99,1728.27,42.72,70,45,25,4,2,2,7.0,1.0,6.0,8.0,6.0,2.0,-1.0,-5.0,4.0,5.0,4.0,1.0,UEFA,CAF,UEFA_vs_CAF,0.0,,7.0141590764,,,87.9,,,0.285607143891129,,,1.875,,,0.9090909090909091,,,0.0,,,0.36448845500000004,,,1.940818593,
7542,2018-06-20,FIFA World Cup,group,0,Portugal,Morocco,479500000.0,87150000.0,392350000.0,0,2007.32,1785.08,222.24,4,41,-37,6,10,-4,8.0,7.0,1.0,8.0,3.0,5.0,0.0,4.0,-4.0,5.0,5.0,0.0,UEFA,CAF,UEFA_vs_CAF,0.0,7.568655508218182,,,84.18181818181819,,,3.2462237364348976,,,-0.9574468085106383,,,0.9090909090909091,,,0.0,,,1.4345957889999998,,,1.6609466705,,
7544,2018-06-20,FIFA World Cup,group,0,Uruguay,Saudi Arabia,321000000.0,,,0,1938.14,1648.16,289.98,14,67,-53,12,3,9,8.0,4.0,4.0,2.0,12.0,-10.0,6.0,-8.0,14.0,5.0,6.0,-1.0,CONMEBOL,AFC,CONMEBOL_vs_AFC,0.0,7.711150443127273,,,84.63636363636364,,,1.0242786165624997,,,2.8125,,,0.8181818181818182,,,0.0,,,1.940818593,,,0.36448845500000004,,
7543,2018-06-20,FIFA World Cup,group,0,Iran,Spain,34000000.0,814000000.0,-780000000.0,2,1896.09,2069.2,-173.11,37,10,27,12,9,3,6.0,12.0,-6.0,3.0,6.0,-3.0,3.0,6.0,-3.0,5.0,5.0,0.0,AFC,UEFA,AFC_vs_UEFA,0.0,,7.623005162839999,,,80.3,,,2.727090087743196,,,-1.9148936170212767,,,0.8181818181818182,,,1.0,,,1.6609466705,,,1.4345957889999998,
7547,2018-06-21,FIFA World Cup,group,0,Denmark,Australia,245800000.0,49500000.0,196300000.0,1,1911.75,1807.81,103.94,12,36,-24,11,7,4,4.0,8.0,-4.0,0.0,7.0,-7.0,4.0,1.0,3.0,5.0,5.0,0.0,UEFA,AFC,UEFA_vs_AFC,0.0,7.520659464581818,7.245820440872728,0.27483902370908986,87.81818181818181,88.72727272727273,-0.9090909090909207,1.2430025156842106,0.0,1.2430025156842106,5.684210526315789,2.8421052631578947,2.8421052631578947,0.9090909090909091,1.0,-0.09090909090909094,0.0,0.0,0.0,1.121567638,0.980031062,0.14153657599999991,1.9263781919999998,1.561557064,0.3648211279999998
7546,2018-06-21,FIFA World Cup,group,0,France,Peru,1020500000.0,26450000.0,994050000.0,0,2037.61,1949.01,88.6,7,11,-4,13,10,3,11.0,8.0,3.0,4.0,2.0,2.0,7.0,6.0,1.0,5.0,5.0,0.0,UEFA,CONMEBOL,UEFA_vs_CONMEBOL,0.0,7.290161779709092,7.515954652196364,-0.22579287248727198,79.36363636363636,78.54545454545455,0.818181818181813,1.6679384926086958,1.9564157651108969,-0.2884772725022011,0.9473684210526315,0.9473684210526315,0.0,0.8181818181818182,0.8181818181818182,0.0,0.0,0.0,0.0,1.561557064,1.9263781919999998,-0.3648211279999998,0.980031062,1.121567638,-0.14153657599999991
7545,2018-06-21,FIFA World Cup,group,0,Argentina,Croatia,662500000.0,356500000.0,306000000.0,2,2009.52,1916.9,92.62,5,20,-15,7,9,-2,10.0,5.0,5.0,11.0,5.0,6.0,-1.0,0.0,-1.0,5.0,5.0,0.0,CONMEBOL,UEFA,CONMEBOL_vs_UEFA,0.0,8.46439538204,7.500237748509092,0.964157633530907,93.5,86.18181818181819,7.318181818181813,2.883083409957641,1.3541228116869302,1.5289605982707106,0.0,1.9148936170212767,-1.9148936170212767,0.7272727272727273,0.9090909090909091,-0.18181818181818177,0.0,0.0,0.0,2.0805182487000002,1.6944666339999999,0.3860516147000004,1.0321244945,0.7623215977000001,0.2698028968
7548,2018-06-22,FIFA World Cup,group,0,Brazil,Costa Rica,981000000.0,34275000.0,946725000.0,0,2153.0,1806.64,346.36,2,23,-21,13,3,10,10.0,4.0,6.0,1.0,8.0,-7.0,9.0,-4.0,13.0,5.0,5.0,0.0,CONMEBOL,CONCACAF,CONMEBOL_vs_CONCACAF,0.0,7.727816829120002,7.299008077656,0.4288087514640022,87.5,87.6,-0.09999999999999432,1.297808854639423,0.5857190156004479,0.7120898390389752,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,1.866589794,0.5960217237,1.2705680703,0.4721066513,1.992569004,-1.5204623526999999
7549,2018-06-22,FIFA World Cup,group,0,Nigeria,Iceland,114650000.0,45100000.0,69550000.0,0,1709.82,1825.35,-115.53,48,22,26,1,2,-1,2.0,6.0,-4.0,8.0,12.0,-4.0,-6.0,-6.0,0.0,6.0,6.0,0.0,CAF,UEFA,CAF_vs_UEFA,0.0,7.306503308056,7.367774405159999,-0.06127109710399914,80.1,86.1,-6.0,1.3341712643696912,1.5747477373205743,-0.24057647295088302,0.9574468085106383,4.7368421052631575,-3.779395296752519,0.7272727272727273,0.8181818181818182,-0.09090909090909094,0.0,0.0,0.0,0.7623215977000001,1.0321244945,-0.2698028968,1.6944666339999999,2.0805182487000002,-0.3860516147000004
7550,2018-06-22,FIFA World Cup,group,0,Serbia,Switzerland,181500000.0,218100000.0,-36600000.0,2,1833.85,1940.72,-106.87,34,6,28,9,11,-2,9.0,11.0,-2.0,4.0,2.0,2.0,5.0,9.0,-4.0,5.0,5.0,0.0,UEFA,UEFA,UEFA_vs_UEFA,1.0,7.589459563927274,7.437062301912729,0.15239726201454573,88.45454545454545,91.0909090909091,-2.6363636363636402,2.0351429982728613,1.22955310759375,0.8055898906791112,2.783505154639175,1.875,0.9085051546391751,0.9090909090909091,1.0,-0.09090909090909094,0.0,0.0,0.0,1.992569004,0.4721066513,1.5204623526999999,0.5960217237,1.866589794,-1.2705680703
7552,2018-06-23,FIFA World Cup,group,0,Belgium,Tunisia,754000000.0,38300000.0,715700000.0,0,2001.43,1739.81,261.62,3,21,-18,13,5,8,14.0,6.0,8.0,1.0,7.0,-6.0,13.0,-1.0,14.0,5.0,5.0,0.0,UEFA,CAF,UEFA_vs_CAF,0.0,8.051785829454547,7.36462541992,0.6871604095345463,90.54545454545455,91.6,-1.0545454545454476,3.731639015409963,0.2024684303419453,3.5291705850680177,1.9148936170212767,2.25,-0.3351063829787233,1.0,0.8181818181818182,0.18181818181818177,0.0,0.0,0.0,1.212055155,0.945653212,0.2664019430000001,0.6253549800000001,2.626449745,-2.001094765
7553,2018-06-23,FIFA World Cup,group,0,South Korea,Mexico,80875000.0,125300000.0,-44425000.0,2,1743.53,1965.67,-222.14,57,15,42,4,7,-3,3.0,2.0,1.0,6.0,3.0,3.0,-3.0,-1.0,-2.0,5.0,6.0,-1.0,AFC,CONCACAF,AFC_vs_CONCACAF,0.0,7.251564036355556,7.662239183054546,-0.4106751466989902,91.0,80.0909090909091,10.909090909090907,0.5558070823404256,3.2336138446206086,-2.677806762280183,2.872340425531915,8.709677419354838,-5.837336993822923,0.7272727272727273,0.9090909090909091,-0.18181818181818177,0.0,0.0,0.0,0.414372021,0.9932887669999999,-0.578916746,2.015124456,2.2992588492,-0.2841343932
7551,2018-06-23,FIFA World Cup,group,0,Germany,Sweden,883000000.0,102750000.0,780250000.0,0,2056.57,1850.93,205.65,1,24,-23,4,5,-1,4.0,2.0,2.0,6.0,3.0,3.0,-2.0,-1.0,-1.0,6.0,5.0,1.0,UEFA,UEFA,UEFA_vs_UEFA,1.0,7.90243763442,7.748521415680001,0.15391621873999917,84.625,88.4,-3.7750000000000057,0.9159658685104365,0.8523586612458008,0.06360720726463565,1.935483870967742,0.0,1.935483870967742,0.6363636363636364,0.9090909090909091,-0.2727272727272727,1.0,0.0,1.0,2.2992588492,2.015124456,0.2841343932,0.9932887669999999,0.414372021,0.578916746
7554,2018-06-24,FIFA World Cup,group,0,England,Panama,874000000.0,3375000.0,870625000.0,0,1987.61,1725.03,262.58,12,55,-43,13,4,9,8.0,1.0,7.0,3.0,10.0,-7.0,5.0,-9.0,14.0,6.0,6.0,0.0,UEFA,CONCACAF,UEFA_vs_CONCACAF,0.0,7.917684092000002,7.127298544000001,0.7903855480000006,84.0909090909091,86.27272727272727,-2.1818181818181728,2.375186255792315,0.9295669778192664,1.4456192779730488,0.0,0.0,0.0,0.9090909090909091,1.0,-0.09090909090909094,0.0,0.0,0.0,2.626449745,0.6253549800000001,2.001094765,0.945653212,1.212055155,-0.2664019430000001
7556,2018-06-24,FIFA World Cup,group,0,Japan,Senegal,73150000.0,267250000.0,-194100000.0,1,1829.18,1867.58,-38.41,61,27,34,6,8,-2,7.0,5.0,2.0,9.0,3.0,6.0,-2.0,2.0,-4.0,5.0,5.0,0.0,AFC,CAF,AFC_vs_CAF,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7555,2018-06-24,FIFA World Cup,group,0,Poland,Colombia,268250000.0,221500000.0,46750000.0,2,1831.35,1925.83,-94.48,8,16,-8,7,8,-1,10.0,8.0,2.0,7.0,4.0,3.0,3.0,4.0,-1.0,5.0,5.0,0.0,UEFA,,,,7.1988840100800005,,,72.9,,,0.7115509316054158,,,-0.9574468085106383,,,0.6363636363636364,,,1.0,,,1.0423233840000001,,,1.4277506340000001,,
7558,2018-06-25,FIFA World Cup,group,0,Uruguay,Russia,321000000.0,91100000.0,229900000.0,0,1947.65,1800.73,146.93,14,70,-56,15,7,8,8.0,10.0,-2.0,0.0,6.0,-6.0,8.0,4.0,4.0,5.0,6.0,-1.0,CONMEBOL,UEFA,CONMEBOL_vs_UEFA,0.0,7.293326943880001,7.689036287466667,-0.3957093435866659,143.6,80.44444444444444,63.15555555555555,1.4659605841578947,2.9884334306190725,-1.5224728464611779,2.3684210526315788,0.9574468085106383,1.4109742441209403,0.6363636363636364,0.7272727272727273,-0.09090909090909094,2.0,1.0,1.0,1.874102762,0.9811507970000001,0.8929519649999998,0.31898714365,1.6975182529999997,-1.3785311093499997
7559,2018-06-25,FIFA World Cup,group,0,Saudi Arabia,Egypt,,171150000.0,,0,1638.65,1698.54,-59.89,67,45,22,0,2,-2,2.0,2.0,0.0,13.0,8.0,5.0,-11.0,-6.0,-5.0,5.0,6.0,-1.0,AFC,CAF,AFC_vs_CAF,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7557,2018-06-25,FIFA World Cup,group,0,Iran,Portugal,34000000.0,479500000.0,-445500000.0,1,1879.91,2020.38,-140.47,37,4,33,9,9,0,4.0,9.0,-5.0,3.0,5.0,-2.0,1.0,4.0,-3.0,5.0,5.0,0.0,AFC,UEFA,AFC_vs_UEFA,0.0,7.0030606656000005,7.2211038076,-0.21804314199999908,84.18181818181819,133.36363636363637,-49.18181818181819,0.290211848718398,2.1567085588888886,-1.8664967101704906,0.9574468085106383,1.4285714285714286,-0.47112462006079026,0.9090909090909091,0.7272727272727273,0.18181818181818177,0.0,1.0,-1.0,0.426459236,1.1597910159999998,-0.7333317799999998,2.1969543834999996,1.558024772,0.6389296114999996
7560,2018-06-25,FIFA World Cup,group,0,Spain,Morocco,814000000.0,87150000.0,726850000.0,1,2085.37,1772.02,313.36,10,41,-31,11,7,4,12.0,5.0,7.0,5.0,4.0,1.0,7.0,1.0,6.0,5.0,5.0,0.0,UEFA,CAF,UEFA_vs_CAF,0.0,7.7446641165272725,7.55011693788,0.1945471786472721,157.0909090909091,89.2,67.89090909090909,2.437368550408691,1.4387155374269096,0.9986530129817812,-0.9574468085106383,0.0,-0.9574468085106383,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,1.9289505269999998,1.4551028735,0.4738476534999998,0.9305275124999999,0.884986243,0.045541269499999926
