season,match_id,match_date,kick_off,stage,stage_display,is_knockout,team_a,team_b,team_a_group,team_b_group,team_a_manager,team_b_manager,team_a_country,team_b_country,team_a_score,team_b_score,scoreline_90m,target_result_90m,stadium,host_country,referee
2022,3857262,2022-12-02,15:00:00.000,group,Group Stage,0,South Korea,Portugal,H,H,Paulo Bento,Fernando Santos,Korea (South),Portugal,2,1,2-1,0,Education City Stadium ,Qatar,Facundo Tello Figueroa
2022,3857293,2022-12-02,15:00:00.000,group,Group Stage,0,Ghana,Uruguay,H,H,Otto Addo,Diego Alonso,Ghana,Uruguay,0,2,0-2,2,Al Janoub Stadium   ,Qatar,Daniel Siebert
2022,3857256,2022-12-02,19:00:00.000,group,Group Stage,0,Serbia,Switzerland,G,G,Dragan Stojković,Murat Yakin,Serbia,Switzerland,2,3,2-3,2,Stadium 974,Qatar,Fernando Andrés Rapallini
2022,3857280,2022-12-02,19:00:00.000,group,Group Stage,0,Cameroon,Brazil,G,G,Rigobert Song Bahanag,Tite,Cameroon,Brazil,1,0,1-0,0,Lusail Stadium,Qatar,Ismail Elfath
2022,3869117,2022-12-03,17:00:00.000,round_of_16,Round of 16,1,Netherlands,United States,,,Louis van Gaal,Gregg Berhalter,Netherlands,United States of America,3,1,3-1,0,Sheikh Khalifa International Stadium,Qatar,Wilton Pereira Sampaio
2022,3869151,2022-12-03,21:00:00.000,round_of_16,Round of 16,1,Argentina,Australia,,,Lionel Sebastián Scaloni,Graham James Arnold,Argentina,Australia,2,1,2-1,0,Ahmad bin Ali Stadium,Qatar,Szymon Marciniak
2022,3869152,2022-12-04,17:00:00.000,round_of_16,Round of 16,1,France,Poland,,,Didier Deschamps,Czesław Michniewicz,France,Poland,3,1,3-1,0,Al Thumama Stadium,Qatar,Jesús Valenzuela Sáez
2022,3869118,2022-12-04,21:00:00.000,round_of_16,Round of 16,1,England,Senegal,,,Gareth Southgate,Aliou Cissé,England,Senegal,3,0,3-0,0,Al Bayt Stadium,Qatar,Ivan Arcides Barton Cisneros
2022,3869219,2022-12-05,17:00:00.000,round_of_16,Round of 16,1,Japan,Croatia,,,Hajime Moriyasu,Zlatko Dalić,Japan,Croatia,1,1,1-1,1,Al Janoub Stadium   ,Qatar,Ismail Elfath
2022,3869253,2022-12-05,21:00:00.000,round_of_16,Round of 16,1,Brazil,South Korea,,,Tite,Paulo Bento,Brazil,Korea (South),4,1,4-1,0,Stadium 974,Qatar,Clément Turpin
