preset,breakdown_type,segment,evaluated_matches,accuracy,log_loss,brier
all_signals,stage,final,1,0.0,2.3426380819398203,1.4766188229338404
all_signals,stage,group,48,0.4166666666666667,1.951058649679176,0.8347875751622675
all_signals,stage,quarterfinal,4,0.25,2.8517671238204723,1.182306444835841
all_signals,stage,round_of_16,8,0.875,0.9807313914566632,0.3364435973709344
all_signals,stage,semifinal,2,1.0,0.00044793588605606234,5.843416305567311e-07
all_signals,stage,third_place,1,1.0,0.00011780164430576203,2.150163064267254e-08
base_form,stage,final,1,0.0,7.26820273304113,1.9935969162058005
base_form,stage,group,48,0.4166666666666667,1.9155874803481694,0.8345371583862237
base_form,stage,quarterfinal,4,0.25,2.2502725806229766,0.9798580191971873
base_form,stage,round_of_16,8,0.75,0.7920819929809899,0.4464705597661665
base_form,stage,semifinal,2,1.0,0.0020714860669642453,8.521497764970023e-06
base_form,stage,third_place,1,1.0,0.0005906230983422946,5.232513352367534e-07
player_state,stage,final,1,0.0,4.960507185143003,1.9592561390528327
player_state,stage,group,48,0.375,1.975005730191853,0.851840952026287
player_state,stage,quarterfinal,4,0.25,2.0659336622459454,0.9226258956077453
player_state,stage,round_of_16,8,0.75,0.7900112614956675,0.41780731255051967
player_state,stage,semifinal,2,1.0,0.0013523342340581437,3.403567585153169e-06
player_state,stage,third_place,1,1.0,0.0007574659410083001,8.726154786125587e-07
player_state_squad_value,stage,final,1,0.0,3.261919293662831,1.7700551166049936
player_state_squad_value,stage,group,48,0.3958333333333333,1.8150974515327352,0.8289694878294139
player_state_squad_value,stage,quarterfinal,4,0.25,2.503655747945273,1.0472758674964555
player_state_squad_value,stage,round_of_16,8,0.75,0.7817670143126891,0.3947952307495308
player_state_squad_value,stage,semifinal,2,1.0,0.0012088754801194577,4.0438987991285406e-06
player_state_squad_value,stage,third_place,1,1.0,0.0002461934078417509,9.861174792939146e-08
player_state_squad_value_xg,stage,final,1,0.0,3.219353783145934,1.7461204737772718
player_state_squad_value_xg,stage,group,48,0.3958333333333333,1.8795956311707,0.8391739871999452
player_state_squad_value_xg,stage,quarterfinal,4,0.25,2.4973311347609846,1.0397242799035389
player_state_squad_value_xg,stage,round_of_16,8,0.75,0.8467498989735016,0.45320312777505634
player_state_squad_value_xg,stage,semifinal,2,1.0,0.0007848961083503888,1.7454767134089127e-06
player_state_squad_value_xg,stage,third_place,1,1.0,0.00020661881361909516,6.942777191868523e-08
player_state_xg,stage,final,1,0.0,4.847048662088487,1.9540214310552548
player_state_xg,stage,group,48,0.3541666666666667,2.061679627769895,0.8631284665329207
player_state_xg,stage,quarterfinal,4,0.25,2.0740120093784262,0.8889345644889821
player_state_xg,stage,round_of_16,8,0.75,0.8414515667985574,0.4514003183208126
player_state_xg,stage,semifinal,2,1.0,0.0009684520001204126,1.8910596768946345e-06
player_state_xg,stage,third_place,1,1.0,0.0005861934811870158,5.222922875299628e-07
all_signals,stage_bucket,group,48,0.4166666666666667,1.951058649679176,0.8347875751622675
all_signals,stage_bucket,knockout,16,0.6875,1.3497857113932146,0.5560871607143482
base_form,stage_bucket,group,48,0.4166666666666667,1.9155874803481694,0.8345371583862237
base_form,stage_bucket,knockout,16,0.625,1.4131676621633267,0.5928006898356717
player_state,stage_bucket,group,48,0.375,1.975005730191853,0.851840952026287
player_state,stage_bucket,knockout,16,0.625,1.2217371287813281,0.5620141188524138
player_state_squad_value,stage_bucket,group,48,0.3958333333333333,1.8150974515327352,0.8289694878294139
player_state_squad_value,stage_bucket,knockout,16,0.625,1.2208338965195946,0.5698455386872754
player_state_squad_value_xg,stage_bucket,group,48,0.3958333333333333,1.8795956311707,0.8391739871999452
player_state_squad_value_xg,stage_bucket,knockout,16,0.625,1.2490283703130127,0.5956653859983173
player_state_xg,stage_bucket,group,48,0.3541666666666667,2.061679627769895,0.8631284665329207
player_state_xg,stage_bucket,knockout,16,0.625,1.242327020717005,0.5700604087493328
